study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test_word,Reference,old_new,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,trials_2.textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
,0,0,0,,,_ha_t,chart,old,Chart,[np.float64(0.016666666666666666)],[np.float64(-0.28888888888888886)],[1],[0],[0],[4.7405318999662995],['text_3'],,,,,0,0,0,1,20.6475435,,,,,,,,20.6410744,20.6475435,20.6475435,20.6475435,0.0464049,25.3818846,Chart,[np.float64(0.016666666666666666)],[np.float64(-0.28888888888888886)],[1],[0],[0],[4.7405318999662995],['text_3'],306243,1,2025-11-20_12h35.06.517,word priming,,2025.1.1,60.02883785,2025-11-20 12h35.09.986408 +0530
,1,1,0,,,Ma_b_e,Marble,old,Marble,[np.float64(0.08981481481481482)],[np.float64(-0.30925925925925923)],[1],[0],[0],[5.037365700001828],['text_3'],,,,,0,1,1,12,25.4003548,,,,,,,,25.3893168,25.4003548,25.4003548,25.4003548,0.0072381,30.4271254,Marble,[np.float64(0.08981481481481482)],[np.float64(-0.30925925925925923)],[1],[0],[0],[5.037365700001828],['text_3'],306243,1,2025-11-20_12h35.06.517,word priming,,2025.1.1,60.02883785,2025-11-20 12h35.09.986408 +0530
,2,2,0,,,P_nc_l,Pencil,new,Pencil,[np.float64(0.08888888888888889)],[np.float64(-0.3101851851851852)],[1],[0],[0],[3.377903399989009],['text_3'],,,,,0,2,2,17,30.4451351,,,,,,,,30.4349169,30.4451351,30.4451351,30.4451351,0.0075413,33.8132286,Pencil,[np.float64(0.08888888888888889)],[np.float64(-0.3101851851851852)],[1],[0],[0],[3.377903399989009],['text_3'],306243,1,2025-11-20_12h35.06.517,word priming,,2025.1.1,60.02883785,2025-11-20 12h35.09.986408 +0530
,3,3,0,,,Ke_s,keys,old,Keys,[np.float64(0.07777777777777778)],[np.float64(-0.31574074074074077)],[1],[0],[0],[3.9733298000646755],['text_3'],,,,,0,3,3,8,33.8301397,,,,,,,,33.8204916,33.8301397,33.8301397,33.8301397,0.007066,37.794204,Keys,[np.float64(0.07777777777777778)],[np.float64(-0.31574074074074077)],[1],[0],[0],[3.9733298000646755],['text_3'],306243,1,2025-11-20_12h35.06.517,word priming,,2025.1.1,60.02883785,2025-11-20 12h35.09.986408 +0530
,4,4,0,,,L_pt_p,laptop,old,Laptop,[np.float64(0.062037037037037036)],[np.float64(-0.29444444444444445)],[1],[0],[0],[3.0896642999723554],['text_3'],,,,,0,4,4,0,37.8125296,,,,,,,,37.802383,37.8125296,37.8125296,37.8125296,0.0080241,40.8923637,Laptop,[np.float64(0.062037037037037036)],[np.float64(-0.29444444444444445)],[1],[0],[0],[3.0896642999723554],['text_3'],306243,1,2025-11-20_12h35.06.517,word priming,,2025.1.1,60.02883785,2025-11-20 12h35.09.986408 +0530
,5,5,0,,,c_se,Case,old,case,[np.float64(0.062037037037037036)],[np.float64(-0.29444444444444445)],[1],[0],[0],[3.3791706000920385],['text_3'],,,,,0,5,5,5,40.9071124,,,,,,,,40.8956167,40.9071124,40.9071124,40.9071124,0.0031871,44.2752934,case,[np.float64(0.062037037037037036)],[np.float64(-0.29444444444444445)],[1],[0],[0],[3.3791706000920385],['text_3'],306243,1,2025-11-20_12h35.06.517,word priming,,2025.1.1,60.02883785,2025-11-20 12h35.09.986408 +0530
,6,6,0,,,P_li_e,police,old,Police,[np.float64(0.062037037037037036)],[np.float64(-0.29444444444444445)],[1],[0],[0],[3.278389299986884],['text_3'],,,,,0,6,6,7,44.2916067,,,,,,,,44.2814715,44.2916067,44.2916067,44.2916067,0.0059226,47.5602765,Police,[np.float64(0.062037037037037036)],[np.float64(-0.29444444444444445)],[1],[0],[0],[3.278389299986884],['text_3'],306243,1,2025-11-20_12h35.06.517,word priming,,2025.1.1,60.02883785,2025-11-20 12h35.09.986408 +0530
,7,7,0,,,B_tt_e,Bottle,new,Battle,[np.float64(0.05555555555555555)],[np.float64(-0.2953703703703704)],[1],[0],[0],[3.0169289000332355],['text_3'],,,,,0,7,7,19,47.5838169,,,,,,,,47.5734594,47.5838169,47.5838169,47.5838169,0.0130097,50.5909229,Battle,[np.float64(0.05555555555555555)],[np.float64(-0.2953703703703704)],[1],[0],[0],[3.0169289000332355],['text_3'],306243,1,2025-11-20_12h35.06.517,word priming,,2025.1.1,60.02883785,2025-11-20 12h35.09.986408 +0530
,8,8,0,,,P_on_,Phone,old,Phone,[np.float64(0.040740740740740744)],[np.float64(-0.29907407407407405)],[1],[0],[0],[4.178262799978256],['text_3'],,,,,0,8,8,13,50.6068586,,,,,,,,50.5966803,50.6068586,50.6068586,50.6068586,0.0054576,54.7753869,Phone,[np.float64(0.040740740740740744)],[np.float64(-0.29907407407407405)],[1],[0],[0],[4.178262799978256],['text_3'],306243,1,2025-11-20_12h35.06.517,word priming,,2025.1.1,60.02883785,2025-11-20 12h35.09.986408 +0530
,9,9,0,,,R_ng,Ring,new,Ring,[np.float64(0.040740740740740744)],[np.float64(-0.29907407407407405)],[1],[0],[0],[3.0572075000964105],['text_3'],,,,,0,9,9,22,54.7926592,,,,,,,,54.7827064,54.7926592,54.7926592,54.7926592,0.0071654,57.8403854,Ring,[np.float64(0.040740740740740744)],[np.float64(-0.29907407407407405)],[1],[0],[0],[3.0572075000964105],['text_3'],306243,1,2025-11-20_12h35.06.517,word priming,,2025.1.1,60.02883785,2025-11-20 12h35.09.986408 +0530
