study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test_word,Reference,old_new,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,trials_2.textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
,0,0,0,,,P_st_y,Pastry,old,"Pastry
",[np.float64(0.03611111111111111)],[np.float64(-0.275)],[1],[0],[0],[8.09044850000646],['text_3'],,,,,0,0,0,4,19.3734584,,,,,,,,19.3664241,19.3734584,19.3734584,19.3734584,0.0436934,27.4571427,"Pastry
",[np.float64(0.03611111111111111)],[np.float64(-0.275)],[1],[0],[0],[8.09044850000646],['text_3'],756262,1,2025-11-20_12h25.52.902,word priming,,2025.1.1,59.97400726,2025-11-20 12h25.56.128876 +0530
,1,1,0,,,T_hi_t,T-shirt,old,Tshirt,[np.float64(0.020370370370370372)],[np.float64(-0.30185185185185187)],[1],[0],[0],[4.877093099988997],['text_3'],,,,,0,1,1,2,27.4717652,,,,,,,,27.4617548,27.4717652,27.4717652,27.4717652,0.0043698,32.3392701,Tshirt,[np.float64(0.020370370370370372)],[np.float64(-0.30185185185185187)],[1],[0],[0],[4.877093099988997],['text_3'],756262,1,2025-11-20_12h25.52.902,word priming,,2025.1.1,59.97400726,2025-11-20 12h25.56.128876 +0530
,2,2,0,,,P_on_,Phone,old,Phone,[np.float64(0.05)],[np.float64(-0.32685185185185184)],[1],[0],[0],[5.541123899980448],['text_3'],,,,,0,2,2,13,32.3553002,,,,,,,,32.3454959,32.3553002,32.3553002,32.3553002,0.0059773,37.8869663,Phone,[np.float64(0.05)],[np.float64(-0.32685185185185184)],[1],[0],[0],[5.541123899980448],['text_3'],756262,1,2025-11-20_12h25.52.902,word priming,,2025.1.1,59.97400726,2025-11-20 12h25.56.128876 +0530
,3,3,0,,,B_a_d,Board,old,Board,[np.float64(0.04537037037037037)],[np.float64(-0.3212962962962963)],[1],[0],[0],[7.0757815999677405],['text_3'],,,,,0,3,3,10,37.9024724,,,,,,,,37.8929721,37.9024724,37.9024724,37.9024724,0.0058309,44.9689658,Board,[np.float64(0.04537037037037037)],[np.float64(-0.3212962962962963)],[1],[0],[0],[7.0757815999677405],['text_3'],756262,1,2025-11-20_12h25.52.902,word priming,,2025.1.1,59.97400726,2025-11-20 12h25.56.128876 +0530
,4,4,0,,,Ke_s,keys,old,Keys,[np.float64(0.03518518518518519)],[np.float64(-0.3055555555555556)],[1],[0],[0],[3.7478853000793606],['text_3'],,,,,0,4,4,8,44.9849272,,,,,,,,44.9729847,44.9849272,44.9849272,44.9849272,0.0039497,48.7212394,Keys,[np.float64(0.03518518518518519)],[np.float64(-0.3055555555555556)],[1],[0],[0],[3.7478853000793606],['text_3'],756262,1,2025-11-20_12h25.52.902,word priming,,2025.1.1,59.97400726,2025-11-20 12h25.56.128876 +0530
,5,5,0,,,_us_io_,Cushion,old,Cushion,[np.float64(0.025925925925925925)],[np.float64(-0.3037037037037037)],[1],[0],[0],[5.84240950003732],['text_3'],,,,,0,5,5,15,48.7355554,,,,,,,,48.7259988,48.7355554,48.7355554,48.7355554,0.0044914,54.568947,Cushion,[np.float64(0.025925925925925925)],[np.float64(-0.3037037037037037)],[1],[0],[0],[5.84240950003732],['text_3'],756262,1,2025-11-20_12h25.52.902,word priming,,2025.1.1,59.97400726,2025-11-20 12h25.56.128876 +0530
,6,6,0,,,C_m_ra,Camera,new,Camera,[np.float64(0.003703703703703704)],[np.float64(-0.25925925925925924)],[1],[0],[0],[4.026666500023566],[None],,,,,0,6,6,20,54.5836797,,,,,,,,54.5748118,54.5836797,54.5836797,54.5836797,0.0054941,58.6019684,Camera,[np.float64(0.003703703703703704)],[np.float64(-0.25925925925925924)],[1],[0],[0],[4.026666500023566],[None],756262,1,2025-11-20_12h25.52.902,word priming,,2025.1.1,59.97400726,2025-11-20 12h25.56.128876 +0530
,7,7,0,,,_ha_t,chart,old,Chart,[np.float64(0.003703703703703704)],[np.float64(-0.2972222222222222)],[1],[0],[0],[7.814143999945372],['text_3'],,,,,0,7,7,1,58.6169633,,,,,,,,58.6068301,58.6169633,58.6169633,58.6169633,0.0045266,66.4212732,Chart,[np.float64(0.003703703703703704)],[np.float64(-0.2972222222222222)],[1],[0],[0],[7.814143999945372],['text_3'],756262,1,2025-11-20_12h25.52.902,word priming,,2025.1.1,59.97400726,2025-11-20 12h25.56.128876 +0530
,8,8,0,,,R_ng,Ring,new,Ring,[np.float64(-0.009259259259259259)],[np.float64(-0.3111111111111111)],[1],[0],[0],[4.1454554999945685],['text_3'],,,,,0,8,8,22,66.4565245,,,,,,,,66.4368862,66.4565245,66.4565245,66.4565245,0.0156487,70.5834974,Ring,[np.float64(-0.009259259259259259)],[np.float64(-0.3111111111111111)],[1],[0],[0],[4.1454554999945685],['text_3'],756262,1,2025-11-20_12h25.52.902,word priming,,2025.1.1,59.97400726,2025-11-20 12h25.56.128876 +0530
,9,9,0,,,_ru_se,cruise,old,Cruise,[np.float64(-0.028703703703703703)],[np.float64(-0.2740740740740741)],[1],[0],[0],[5.978710699942894],['text_3'],,,,,0,9,9,6,70.5985309,,,,,,,,70.5883714,70.5985309,70.5985309,70.5985309,0.0045228,76.567637,Cruise,[np.float64(-0.028703703703703703)],[np.float64(-0.2740740740740741)],[1],[0],[0],[5.978710699942894],['text_3'],756262,1,2025-11-20_12h25.52.902,word priming,,2025.1.1,59.97400726,2025-11-20 12h25.56.128876 +0530
