study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test_word,Reference,old_new,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,trials_2.textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
,0,0,0,,,T_hi_t,T-shirt,old,,[np.float64(-0.4740740740740741)],[np.float64(-0.29907407407407405)],[1],[0],[0],[0.25950569997075945],[None],,,,,0,0,0,2,11.5405237,,,,,,,,11.5343057,11.5405237,11.5405237,11.5405237,0.0434028,11.7940835,,[np.float64(-0.4740740740740741)],[np.float64(-0.29907407407407405)],[1],[0],[0],[0.25950569997075945],[None],719652,1,2025-11-20_12h32.56.055,word priming,,2025.1.1,60.27353331,2025-11-20 12h32.59.507638 +0530
,1,1,0,,,Ma_b_e,Marble,old,Marble,[np.float64(0.05277777777777778)],[np.float64(-0.30277777777777776)],[1],[0],[0],[5.138599499943666],['text_3'],,,,,0,1,1,12,11.810252,,,,,,,,11.8026266,11.810252,11.810252,11.810252,0.0083261,16.9415401,Marble,[np.float64(0.05277777777777778)],[np.float64(-0.30277777777777776)],[1],[0],[0],[5.138599499943666],['text_3'],719652,1,2025-11-20_12h32.56.055,word priming,,2025.1.1,60.27353331,2025-11-20 12h32.59.507638 +0530
,2,2,0,,,_o_se,Mouse,old,,[np.float64(0.04351851851851852)],[np.float64(-0.2962962962962963)],[1],[0],[0],[9.092349900049157],['text_3'],,,,,0,2,2,3,16.956005,,,,,,,,16.9465077,16.956005,16.956005,16.956005,0.0048231,26.0392541,,[np.float64(0.04351851851851852)],[np.float64(-0.2962962962962963)],[1],[0],[0],[9.092349900049157],['text_3'],719652,1,2025-11-20_12h32.56.055,word priming,,2025.1.1,60.27353331,2025-11-20 12h32.59.507638 +0530
,3,3,0,,,T_bl_,Table,new,Table,[np.float64(0.003703703703703704)],[np.float64(-0.28888888888888886)],[1],[0],[0],[3.5785172999603674],['text_3'],,,,,0,3,3,16,26.0539388,,,,,,,,26.0438305,26.0539388,26.0539388,26.0539388,0.004369,29.6226311,Table,[np.float64(0.003703703703703704)],[np.float64(-0.28888888888888886)],[1],[0],[0],[3.5785172999603674],['text_3'],719652,1,2025-11-20_12h32.56.055,word priming,,2025.1.1,60.27353331,2025-11-20 12h32.59.507638 +0530
,4,4,0,,,P_on_,Phone,old,Phone,[np.float64(0.03888888888888889)],[np.float64(-0.3277777777777778)],[1],[0],[0],[4.324826699914411],['text_3'],,,,,0,4,4,13,29.6387797,,,,,,,,29.6297454,29.6387797,29.6387797,29.6387797,0.0070456,33.9550546,Phone,[np.float64(0.03888888888888889)],[np.float64(-0.3277777777777778)],[1],[0],[0],[4.324826699914411],['text_3'],719652,1,2025-11-20_12h32.56.055,word priming,,2025.1.1,60.27353331,2025-11-20 12h32.59.507638 +0530
,5,5,0,,,c_se,Case,old,Case,[np.float64(0.04259259259259259)],[np.float64(-0.31296296296296294)],[1],[0],[0],[2.8301727001089603],['text_3'],,,,,0,5,5,5,33.9699596,,,,,,,,33.9603133,33.9699596,33.9699596,33.9699596,0.0049865,36.7909451,Case,[np.float64(0.04259259259259259)],[np.float64(-0.31296296296296294)],[1],[0],[0],[2.8301727001089603],['text_3'],719652,1,2025-11-20_12h32.56.055,word priming,,2025.1.1,60.27353331,2025-11-20 12h32.59.507638 +0530
,6,6,0,,,_us_io_,Cushion,old,cushion,[np.float64(0.030555555555555555)],[np.float64(-0.31851851851851853)],[1],[0],[0],[4.3749446999281645],['text_3'],,,,,0,6,6,15,36.8057094,,,,,,,,36.7960024,36.8057094,36.8057094,36.8057094,0.0048673,41.1712358,cushion,[np.float64(0.030555555555555555)],[np.float64(-0.31851851851851853)],[1],[0],[0],[4.3749446999281645],['text_3'],719652,1,2025-11-20_12h32.56.055,word priming,,2025.1.1,60.27353331,2025-11-20 12h32.59.507638 +0530
,7,7,0,,,L_pt_p,laptop,old,laptop,[np.float64(0.037037037037037035)],[np.float64(-0.3037037037037037)],[1],[0],[0],[3.2805554000660777],['text_3'],,,,,0,7,7,0,41.1865665,,,,,,,,41.1759591,41.1865665,41.1865665,41.1865665,0.0046148,44.4568066,laptop,[np.float64(0.037037037037037035)],[np.float64(-0.3037037037037037)],[1],[0],[0],[3.2805554000660777],['text_3'],719652,1,2025-11-20_12h32.56.055,word priming,,2025.1.1,60.27353331,2025-11-20 12h32.59.507638 +0530
,8,8,0,,,P_nc_l,Pencil,new,Pencil,[np.float64(0.08333333333333333)],[np.float64(-0.3101851851851852)],[1],[0],[0],[7.626422900008038],['text_3'],,,,,0,8,8,17,44.4723192,,,,,,,,44.4618126,44.4723192,44.4723192,44.4723192,0.0048427,52.0886251,Pencil,[np.float64(0.08333333333333333)],[np.float64(-0.3101851851851852)],[1],[0],[0],[7.626422900008038],['text_3'],719652,1,2025-11-20_12h32.56.055,word priming,,2025.1.1,60.27353331,2025-11-20 12h32.59.507638 +0530
,9,9,0,,,B_a_d,Board,old,Board,[np.float64(0.09814814814814815)],[np.float64(-0.3314814814814815)],[1],[0],[0],[3.8585629999870434],[None],,,,,0,9,9,10,52.105276,,,,,,,,52.0958332,52.105276,52.105276,52.105276,0.0070471,55.9548223,Board,[np.float64(0.09814814814814815)],[np.float64(-0.3314814814814815)],[1],[0],[0],[3.8585629999870434],[None],719652,1,2025-11-20_12h32.56.055,word priming,,2025.1.1,60.27353331,2025-11-20 12h32.59.507638 +0530
,10,10,0,,,Sl_e_e,Sleeve,new,Slee,[],[],[],[],[],[],[],,,,,0,10,10,21,55.9696498,,,,,,,,55.9601271,55.9696498,55.9696498,55.9696498,0.0051311,65.9673837,Slee,[],[],[],[],[],[],[],719652,1,2025-11-20_12h32.56.055,word priming,,2025.1.1,60.27353331,2025-11-20 12h32.59.507638 +0530
